groups,month,POP_CE,virus,cases,inc
1,15-Jan,8904459,CHIKV,0,0
2,15-Feb,8904459,CHIKV,0,0
3,15-Mar,8904459,CHIKV,2,0.02
4,15-Apr,8904459,CHIKV,5,0.06
5,15-May,8904459,CHIKV,3,0.03
6,15-Jun,8904459,CHIKV,0,0
7,15-Jul,8904459,CHIKV,0,0
8,15-Aug,8904459,CHIKV,2,0.02
9,15-Sep,8904459,CHIKV,1,0.01
10,15-Oct,8904459,CHIKV,0,0
11,15-Nov,8904459,CHIKV,0,0
12,15-Dec,8904459,CHIKV,1,0.01
13,16-Jan,8963663,CHIKV,18,0.2
14,16-Feb,8963663,CHIKV,56,0.62
15,16-Mar,8963663,CHIKV,777,8.67
16,16-Apr,8963663,CHIKV,2582,28.81
17,16-May,8963663,CHIKV,5523,61.62
18,16-Jun,8963663,CHIKV,4236,47.26
19,16-Jul,8963663,CHIKV,1916,21.38
20,16-Aug,8963663,CHIKV,1011,11.28
21,16-Sep,8963663,CHIKV,413,4.61
22,16-Oct,8963663,CHIKV,224,2.5
23,16-Nov,8963663,CHIKV,180,2.01
24,16-Dec,8963663,CHIKV,76,0.85
25,17-Jan,9020460,CHIKV,257,2.85
26,17-Feb,9020460,CHIKV,584,6.47
27,17-Mar,9020460,CHIKV,3705,41.07
28,17-Apr,9020460,CHIKV,10999,121.93
29,17-May,9020460,CHIKV,15257,169.14
30,17-Jun,9020460,CHIKV,6403,70.98
31,17-Jul,9020460,CHIKV,1948,21.6
32,17-Aug,9020460,CHIKV,869,9.63
33,17-Sep,9020460,CHIKV,205,2.27
34,17-Oct,9020460,CHIKV,191,2.12
35,17-Nov,9020460,CHIKV,100,1.11
36,17-Dec,9020460,CHIKV,78,0.86
37,18-Jan,9075649,CHIKV,99,1.09
38,18-Feb,9075649,CHIKV,67,0.74
39,18-Mar,9075649,CHIKV,57,0.63
40,18-Apr,9075649,CHIKV,86,0.95
41,18-May,9075649,CHIKV,74,0.82
42,18-Jun,9075649,CHIKV,81,0.89
43,18-Jul,9075649,CHIKV,71,0.78
44,18-Aug,9075649,CHIKV,63,0.69
45,18-Sep,9075649,CHIKV,50,0.55
46,18-Oct,9075649,CHIKV,91,1
47,18-Nov,9075649,CHIKV,116,1.28
48,18-Dec,9075649,CHIKV,44,0.48
49,19-Jan,9132078,CHIKV,62,0.68
50,19-Feb,9132078,CHIKV,52,0.57
51,19-Mar,9132078,CHIKV,62,0.68
52,19-Apr,9132078,CHIKV,418,4.58
53,19-May,9132078,CHIKV,68,0.74
54,19-Jun,9132078,CHIKV,75,0.82
55,19-Jul,9132078,CHIKV,58,0.64
56,19-Aug,9132078,CHIKV,26,0.28
57,19-Sep,9132078,CHIKV,38,0.42
58,19-Oct,9132078,CHIKV,53,0.58
59,19-Nov,9132078,CHIKV,26,0.28
60,19-Dec,9132078,CHIKV,30,0.33
61,20-Jan,9187103,CHIKV,38,0.41
62,20-Feb,9187103,CHIKV,36,0.39
63,20-Mar,9187103,CHIKV,87,0.95
64,20-Apr,9187103,CHIKV,56,0.61
65,20-May,9187103,CHIKV,65,0.71
66,20-Jun,9187103,CHIKV,93,1.01
67,20-Jul,9187103,CHIKV,129,1.4
68,20-Aug,9187103,CHIKV,172,1.87
69,20-Sep,9187103,CHIKV,88,0.96
70,20-Oct,9187103,CHIKV,70,0.76
71,20-Nov,9187103,CHIKV,25,0.27
72,20-Dec,9187103,CHIKV,24,0.26
73,21-Jan,9240580,CHIKV,25,0.27
74,21-Feb,9240580,CHIKV,77,0.83
75,21-Mar,9240580,CHIKV,118,1.28
76,21-Apr,9240580,CHIKV,116,1.26
77,21-May,9240580,CHIKV,112,1.21
78,21-Jun,9240580,CHIKV,114,1.23
79,21-Jul,9240580,CHIKV,128,1.39
80,21-Aug,9240580,CHIKV,118,1.28
81,21-Sep,9240580,CHIKV,72,0.78
82,21-Oct,9240580,CHIKV,67,0.73
83,21-Nov,9240580,CHIKV,59,0.64
84,21-Dec,9240580,CHIKV,77,0.83
85,22-Jan,9240580,CHIKV,271,2.93
86,22-Feb,9240580,CHIKV,2084,22.55
87,22-Mar,9240580,CHIKV,6158,66.64
88,22-Apr,9240580,CHIKV,7353,79.57
89,22-May,9240580,CHIKV,3944,42.68