groups,month,GoogleTrends
1,2013-01,0
2,2013-02,0
3,2013-03,0
4,2013-04,0
5,2013-05,0
6,2013-06,0
7,2013-07,0
8,2013-08,0
9,2013-09,0
10,2013-10,0
11,2013-11,0
12,2013-12,0
13,2014-01,0
14,2014-02,0
15,2014-03,0
16,2014-04,1
17,2014-05,1
18,2014-06,2
19,2014-07,3
20,2014-08,2
21,2014-09,7
22,2014-10,17
23,2014-11,16
24,2014-12,10
25,2015-01,7
26,2015-02,14
27,2015-03,21
28,2015-04,25
29,2015-05,21
30,2015-06,13
31,2015-07,10
32,2015-08,6
33,2015-09,6
34,2015-10,5
35,2015-11,10
36,2015-12,30
37,2016-01,32
38,2016-02,97
39,2016-03,100
40,2016-04,86
41,2016-05,41
42,2016-06,29
43,2016-07,18
44,2016-08,11
45,2016-09,9
46,2016-10,8
47,2016-11,12
48,2016-12,9
49,2017-01,13
50,2017-02,17
51,2017-03,20
52,2017-04,26
53,2017-05,24
54,2017-06,14
55,2017-07,10
56,2017-08,7
57,2017-09,7
58,2017-10,7
59,2017-11,7
60,2017-12,5
61,2018-01,7
62,2018-02,8
63,2018-03,12
64,2018-04,15
65,2018-05,13
66,2018-06,8
67,2018-07,6
68,2018-08,6
69,2018-09,6
70,2018-10,4
71,2018-11,6
72,2018-12,6
73,2019-01,7
74,2019-02,10
75,2019-03,14
76,2019-04,28
77,2019-05,32
78,2019-06,24
79,2019-07,16
80,2019-08,10
81,2019-09,9
82,2019-10,7
83,2019-11,6
84,2019-12,5
85,2020-01,7
86,2020-02,9
87,2020-03,17
88,2020-04,17
89,2020-05,23
90,2020-06,22
91,2020-07,14
92,2020-08,9
93,2020-09,7
94,2020-10,5
95,2020-11,5
96,2020-12,5
97,2021-01,5
98,2021-02,6
99,2021-03,12
100,2021-04,14
101,2021-05,19
102,2021-06,20
103,2021-07,15
104,2021-08,9
105,2021-09,7
106,2021-10,6
107,2021-11,5
108,2021-12,6
109,2022-01,8
110,2022-02,9
111,2022-03,16
112,2022-04,26
113,2022-05,33