groups,year,month,POP_CE,CHIKV_cases,CHIKV_deaths,fatality_ratio
1,_2016,1/1/16,8963663,18,0,0.00
2,_2016,2/1/16,8963663,56,0,0.00
3,_2016,3/1/16,8963663,777,0,0.00
4,_2016,4/1/16,8963663,2582,1,0.39
5,_2016,5/1/16,8963663,5523,4,0.72
6,_2016,6/1/16,8963663,4236,3,0.71
7,_2016,7/1/16,8963663,1916,1,0.52
8,_2016,8/1/16,8963663,1011,2,1.98
9,_2016,9/1/16,8963663,413,1,2.42
10,_2016,10/1/16,8963663,224,2,8.93
11,_2016,11/1/16,8963663,180,2,11.11
12,_2016,12/1/16,8963663,76,1,13.16
13,_2017,1/1/17,9020460,257,1,3.89
14,_2017,2/1/17,9020460,584,1,1.71
15,_2017,3/1/17,9020460,3705,4,1.08
16,_2017,4/1/17,9020460,10999,11,1.00
17,_2017,5/1/17,9020460,15257,10,0.66
18,_2017,6/1/17,9020460,6403,8,1.25
19,_2017,7/1/17,9020460,1948,7,3.59
20,_2017,8/1/17,9020460,869,1,1.15
21,_2017,9/1/17,9020460,205,2,9.76
22,_2017,10/1/17,9020460,191,4,20.94
23,_2017,11/1/17,9020460,100,1,10.00
24,_2017,12/1/17,9020460,78,0,0.00
25,_2018,1/1/18,9075649,99,1,10.10
26,_2018,2/1/18,9075649,67,1,14.93
27,_2018,3/1/18,9075649,57,1,17.54
28,_2018,4/1/18,9075649,86,1,11.63
29,_2018,5/1/18,9075649,74,4,54.05
30,_2018,6/1/18,9075649,81,1,12.35
31,_2018,7/1/18,9075649,71,2,28.17
32,_2018,8/1/18,9075649,63,1,15.87
33,_2018,9/1/18,9075649,50,0,0.00
34,_2018,10/1/18,9075649,91,0,0.00
35,_2018,11/1/18,9075649,116,0,0.00
36,_2018,12/1/18,9075649,44,0,0.00
37,_2019,1/1/19,9132078,62,0,0.00
38,_2019,2/1/19,9132078,52,1,19.23
39,_2019,3/1/19,9132078,62,0,0.00
40,_2019,4/1/19,9132078,418,1,2.39
41,_2019,5/1/19,9132078,68,0,0.00
42,_2019,6/1/19,9132078,75,0,0.00
43,_2019,7/1/19,9132078,58,0,0.00
44,_2019,8/1/19,9132078,26,0,0.00
45,_2019,9/1/19,9132078,38,0,0.00
46,_2019,10/1/19,9132078,53,0,0.00
47,_2019,11/1/19,9132078,26,0,0.00
48,_2019,12/1/19,9132078,30,1,33.33
49,_2020,1/1/20,9187103,38,1,26.32
50,_2020,2/1/20,9187103,36,2,55.56
51,_2020,3/1/20,9187103,87,3,34.48
52,_2020,4/1/20,9187103,56,0,0.00
53,_2020,5/1/20,9187103,65,0,0.00
54,_2020,6/1/20,9187103,93,1,10.75
55,_2020,7/1/20,9187103,129,1,7.75
56,_2020,8/1/20,9187103,172,0,0.00
57,_2020,9/1/20,9187103,88,0,0.00
58,_2020,10/1/20,9187103,70,0,0.00
59,_2020,11/1/20,9187103,25,1,40.00
60,_2020,12/1/20,9187103,24,0,0.00
61,_2021,1/1/21,9240580,25,0,0.00
62,_2021,2/1/21,9240580,77,0,0.00
63,_2021,3/1/21,9240580,118,0,0.00
64,_2021,4/1/21,9240580,116,0,0.00
65,_2021,5/1/21,9240580,112,0,0.00
66,_2021,6/1/21,9240580,114,0,0.00
67,_2021,7/1/21,9240580,128,0,0.00
68,_2021,8/1/21,9240580,118,0,0.00
69,_2021,9/1/21,9240580,72,0,0.00
70,_2021,10/1/21,9240580,67,0,0.00
71,_2021,11/1/21,9240580,59,0,0.00
72,_2021,12/1/21,9240580,77,0,0.00
73,_2022,1/1/22,9240580,271,0,0.00
74,_2022,2/1/22,9240580,2084,2,0.96
75,_2022,3/1/22,9240580,6158,5,0.81
76,_2022,4/1/22,9240580,7353,2,0.27
77,_2022,5/1/22,9240580,3944,3,0.76